Date,Particulars,Sub Debit,Sub Credit,Vch Type,Vch No.,Debit,Credit
1-Apr-25,"Akhil Marketing",,,Receipt,1,0,100100
1-Apr-25,"Kotak Mahindra Bank",,,Receipt,2,0,22000
1-Apr-25,"Sales",,,Sales,SRN/14/2024-25,1000000,0
3-Apr-25,"Kotak Mahindra Bank",,,Receipt,7,0,18635
8-Apr-25,"Kotak Mahindra Bank",,,Receipt,25,0,260000
9-Apr-25,"Kotak Mahindra Bank",,,Receipt,35,0,200000
9-Apr-25,"Kotak Mahindra Bank",,,Receipt,36,0,150000
10-Apr-25,"Sales",,,GRB Ghee Items,SRN/13/2025-26,261269,0
14-Apr-25,"Sales",,,GRB Ghee Items,SRN/19/2025-26,266969,0
16-Apr-25,"Kotak Mahindra Bank",,,Receipt,50,0,100000
17-Apr-25,"Kotak Mahindra Bank",,,Receipt,67,0,180000
17-Apr-25,"Kotak Mahindra Bank",,,Receipt,69,0,110000
18-Apr-25,"Kotak Mahindra Bank",,,Receipt,70,0,151269
18-Apr-25,"Kotak Mahindra Bank",,,Receipt,71,0,17234
22-Apr-25,"Sales",,,GRB Ghee Items,SRN/38/2025-26,101520,0
22-Apr-25,"Sales",,,GRB Ghee Items,SRN/39/2025-26,239626,0
24-Apr-25,"Kotak Mahindra Bank",,,Receipt,87,0,100000
28-Apr-25,"Kotak Mahindra Bank",,,Receipt,100,0,166969
30-Apr-25,"Sales",,,GRB Ghee Items,SRN/58/2025-26,932846,0
30-Apr-25,"Key Accounts Rate Difference",,,Credit Note,3,0,40277
30-Apr-25,"Key Accounts Rate Difference",,,Credit Note,4,0,13866
2-May-25,"Kotak Mahindra Bank",,,Receipt,116,0,200000
4-May-25,"Kotak Mahindra Bank",,,Receipt,123,0,30000
6-May-25,"Kotak Mahindra Bank",,,Receipt,129,0,101520
6-May-25,"Kotak Mahindra Bank",,,Receipt,130,0,9626
9-May-25,"Kotak Mahindra Bank",,,Receipt,141,0,180000
13-May-25,"Sales",,,GRB Ghee Items,SRN/86/2025-26,81000,0
13-May-25,"Sales",,,GRB Ghee Items,SRN/87/2025-26,274598,0
